1	2	0
2	4	1
3	56	39;63
4	4	87;95
5	58	12;42;64
6	90	51;57
7	50	39;63
8	6	7
9	51	34;37
10	15	0
11	26	2;6;12;20
12	5	2;10
13	8	3;4;5
14	60	1;100
15	56	2;9;20
16	2	0
17	12	1;2
18	6	5;6;7;8;9
19	55	20;40;49
20	8	53;70;73
21	90	87;95
22	75	5;15
23	2	0
24	54	1;2;3
25	65	23;28
26	45	29
27	80	12;42;64
28	46	0
29	85	27;28
30	92	1;2;3
31	47	7;60;68
32	55	0
33	10	25
34	60	10;12
35	33	16;39;53
36	2	35
37	54	1;100
38	59	3;4;5
39	61	0
40	88	2;9;20
41	59	10;15;17
42	56	12;16
43	30	42
44	4	42
45	7	42
46	18	87;95
47	16	45
48	90	42;57
49	40	34;37
50	65	40;51
51	25	57;70
52	45	25
53	47	1;2
54	2	27
55	35	16;39;53
56	9	7
57	80	0
58	4	7;60;68
59	78	1;100
60	25	2;9;20
61	36	2;6;12;20
62	45	37
63	2	23;25
64	1	53;70;73
65	68	51
66	4	63;64
67	78	16;39;53
68	50	7
69	60	42
70	40	0
71	20	5;6;7;8;9
72	30	42
73	58	1;2
74	48	45
75	62	40;51
76	13	34;42
77	68	42
78	48	40;51
79	79	0
80	46	7;60;68
81	33	45
82	66	39;63
83	85	63;64
84	90	12;42;64
85	16	10;14
86	75	2;6;12;20
87	61	0
88	16	7;60;68
89	9	42
90	3	89
91	45	87;95
92	5	100
93	15	42
94	16	91
95	9	0
96	8	53;70;73
97	15	42
98	6	39;63
99	18	57;87
100	35	0
