40	54	50	90	65	46
43	44	58	82	38	96
43	21	100	95	83	95
48	62	11	1	25	83
86	41	73	92	83	82
78	72	86	96	54	12
61	10	37	62	35	68
8	95	52	27	95	7
85	82	99	14	95	67
71	21	91	27	98	89
34	93	97	34	30	33
41	7	16	41	33	94
60	1	81	9	93	5
36	43	23	89	19	63
88	62	82	91	93	82
86	59	68	28	58	71
91	19	87	8	70	54
5	7	3	8	66	30
36	36	73	87	35	79
21	60	41	56	3	31
69	2	98	38	12	91
33	66	93	7	58	63
14	82	38	65	32	54
4	14	67	55	30	26
85	59	27	29	50	7
30	87	40	54	73	88
62	81	87	26	93	74
89	84	64	48	79	29
62	57	52	20	23	27
41	96	46	77	42	63
18	43	83	49	65	11
66	47	47	91	37	63
63	59	44	30	24	73
40	39	36	70	12	66
55	8	94	23	96	15
62	66	19	47	28	48
97	82	99	2	37	26
89	76	34	88	16	92
89	72	46	41	72	20
9	6	57	4	78	57
84	55	76	79	72	2
72	3	72	51	34	2
7	4	84	4	60	90
4	67	100	92	48	97
4	75	43	23	21	37
5	73	18	57	74	8
41	11	93	98	82	78
74	18	1	11	12	30
54	54	60	79	77	60
95	39	38	50	29	66
33	42	35	12	28	22
11	62	20	3	74	44
27	19	86	50	17	27
12	64	97	56	6	15
36	6	88	72	6	41
47	59	85	1	63	91
63	87	71	50	2	87
39	18	96	75	34	11
57	99	62	18	82	54
21	62	76	6	32	78
24	75	12	58	53	39
33	79	74	33	91	45
30	48	90	17	58	5
66	26	52	44	16	24
19	35	62	62	96	48
87	83	14	62	77	26
95	88	12	63	55	20
5	22	89	29	26	39
20	49	34	71	66	13
40	4	58	75	95	63
87	32	12	70	3	11
95	55	81	63	15	11
59	58	63	80	16	10
1	57	90	89	72	36
27	29	4	61	75	48
47	38	26	62	17	77
17	4	96	55	35	59
100	44	31	95	33	49
39	18	21	70	56	39
35	52	91	96	84	52
36	13	39	44	68	69
66	55	40	13	98	70
55	8	55	57	22	90
38	34	15	52	31	13
88	81	28	95	70	89
76	31	20	39	83	86
32	94	76	20	28	56
1	36	57	67	50	54
65	41	32	84	88	44
14	77	65	11	1	87
12	35	74	79	76	39
91	63	5	32	6	99
21	48	26	95	3	49
77	96	19	27	57	99
82	60	90	48	2	25
47	33	44	82	41	51
76	30	78	61	53	48
80	78	1	94	72	43
33	27	86	94	15	31
48	82	85	14	75	8
44	82	47	26	43	53
6	43	2	4	39	83
93	57	20	27	4	44
34	99	48	24	51	62
72	45	75	24	53	94
14	44	91	23	98	55
51	19	13	80	10	49
6	43	78	71	88	22
71	96	1	1	82	50
67	33	20	95	77	46
41	62	3	74	7	5
69	41	96	92	89	19
42	25	76	52	26	24
